qacc	sacc	bitscore	evalue	sscinames
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_180717	363	4.45e-100	Heminiphilus faecis
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_180431	357	2.07e-98	Muribaculum gordoncarteri
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_181880	346	4.48e-95	Sangeribacter muris
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_144616	346	4.48e-95	Muribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_181879	340	2.08e-93	Duncaniella muricolitica
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_179976	340	2.08e-93	Paramuribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:18327:1699	NR_179975	313	4.54e-85	Duncaniella muris
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_180717	364	1.24e-100	Heminiphilus faecis
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_180431	359	5.75e-99	Muribaculum gordoncarteri
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_181880	348	1.24e-95	Sangeribacter muris
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_144616	348	1.24e-95	Muribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_181879	342	5.79e-94	Duncaniella muricolitica
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_179976	342	5.79e-94	Paramuribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:14069:1827	NR_179975	315	1.26e-85	Duncaniella muris
M00967:43:000000000-A3JHG:1:1101:18044:1900	NR_153710	313	4.54e-85	Peptococcus simiae
M00967:43:000000000-A3JHG:1:1101:18044:1900	NR_113393	307	2.11e-83	Peptococcus niger
M00967:43:000000000-A3JHG:1:1101:18044:1900	NR_029221	307	2.11e-83	Peptococcus niger
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_179975	464	1.18e-130	Duncaniella muris
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_144616	375	5.71e-104	Muribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_181879	364	1.24e-100	Duncaniella muricolitica
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_180717	364	1.24e-100	Heminiphilus faecis
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_179976	364	1.24e-100	Paramuribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_180431	348	1.24e-95	Muribaculum gordoncarteri
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_170509	331	1.25e-90	Duncaniella freteri
M00967:43:000000000-A3JHG:1:1101:13234:1983	NR_181880	320	2.71e-87	Sangeribacter muris
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_144611	440	2.00e-123	Flintibacter butyricus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_025670	379	4.41e-105	Pseudoflavonifractor capillosus ATCC 29799
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_180619	368	9.56e-102	Pseudoflavonifractor gallinarum
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_173697	363	4.45e-100	Lawsonibacter asaccharolyticus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179423	363	4.45e-100	Intestinimonas timonensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_026204	359	5.75e-99	[Clostridium] viride
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_180148	357	2.07e-98	Evtepia gabavorous
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179426	357	2.07e-98	Intestinimonas gabonensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179330	357	2.07e-98	Vescimonas coprocola
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179410	351	9.62e-97	Clostridium phoceensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_118554	351	9.62e-97	Intestinimonas butyriciproducens
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_147375	346	4.48e-95	Colidextribacter massiliensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_029356	346	4.48e-95	Flavonifractor plautii
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_043142	346	4.48e-95	Flavonifractor plautii
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179329	340	2.08e-93	Vescimonas fastidiosa
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_115345	340	2.08e-93	Acetivibrio alkalicellulosi
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_025917	339	7.49e-93	Acetivibrio cellulolyticus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179418	335	9.69e-92	Intestinimonas massiliensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_152684	335	9.69e-92	Acetivibrio saccincola
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_024829	335	9.69e-92	Acetivibrio straminisolvens
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_025918	331	1.25e-90	Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_119284	329	4.51e-90	Pseudoclostridium thermosuccinogenes
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_147370	329	4.51e-90	Pseudoflavonifractor phocaeensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_102987	329	4.51e-90	Acetivibrio clariflavus DSM 19732
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_026099	329	4.51e-90	Acetivibrio aldrichii
M00967:43:000000000-A3JHG:1:1101:16780:2259	NG_041947	324	2.10e-88	Ruminiclostridium cellulolyticum H10
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_102768	324	2.10e-88	Ruminiclostridium cellulolyticum
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_159227	324	2.10e-88	Monoglobus pectinilyticus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_125464	324	2.10e-88	Anaerobacterium chartisolvens
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_074629	324	2.10e-88	Acetivibrio thermocellus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_113157	324	2.10e-88	Acetivibrio thermocellus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_112037	324	2.10e-88	Ruminiclostridium josui
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_044972	318	9.76e-87	Sporobacter termitidis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_180309	318	9.76e-87	Acetivibrio mesophilus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_115340	318	9.76e-87	Saccharofermentans acetigenes
